Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(analysis.py:17551): Gdk-CRITICAL **: 15:52:34.350: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
91 mondrian {'dm': 0.8, 'cm': 0.4960254372019078, 'entropy': 0.5102145342683294, 'acc': 0.4523809523809524}
92 datafly {'dm': 0.4, 'cm': 0.5458399576046635, 'entropy': 0.7808923221159816, 'acc': 0.40476190476190477}
92 mondrian {'dm': 0.8333333333333334, 'cm': 0.4160042395336513, 'entropy': 0.4059348820396305, 'acc': 0.3835978835978836}
93 datafly {'dm': 0.3333333333333333, 'cm': 0.5728669846316905, 'entropy': 0.753819625608721, 'acc': 0.373015873015873}
93 mondrian {'dm': 0.8333333333333334, 'cm': 0.45257021727609964, 'entropy': 0.4583422817282917, 'acc': 0.4444444444444444}
94 datafly {'dm': 0.3333333333333333, 'cm': 0.5744568097509274, 'entropy': 0.7839582228002334, 'acc': 0.32275132275132273}
94 mondrian {'dm': 0.8333333333333334, 'cm': 0.40434552199258084, 'entropy': 0.38175497645816864, 'acc': 0.455026455026455}
95 datafly {'dm': 0.3333333333333333, 'cm': 0.5744568097509274, 'entropy': 0.8029201196499012, 'acc': 0.36507936507936506}
95 mondrian {'dm': 0.8, 'cm': 0.4435612082670906, 'entropy': 0.43247553508016656, 'acc': 0.3201058201058201}
96 datafly {'dm': 0.4, 'cm': 0.5527291997880233, 'entropy': 0.7598547323081009, 'acc': 0.36507936507936506}
96 mondrian {'dm': 0.8333333333333334, 'cm': 0.45045045045045046, 'entropy': 0.46969764426019256, 'acc': 0.3253968253968254}
97 datafly {'dm': 0.4, 'cm': 0.5527291997880233, 'entropy': 0.776958537065555, 'acc': 0.3412698412698413}
97 mondrian {'dm': 0.8, 'cm': 0.424483306836248, 'entropy': 0.4112933441921448, 'acc': 0.373015873015873}
98 datafly {'dm': 0.2, 'cm': 0.5866454689984102, 'entropy': 0.8374476140849348, 'acc': 0.3915343915343915}
98 mondrian {'dm': 0.8666666666666667, 'cm': 0.4430312665606783, 'entropy': 0.4412911043060727, 'acc': 0.328042328042328}
99 datafly {'dm': 0.4666666666666667, 'cm': 0.5574986751457339, 'entropy': 0.6761419021980165, 'acc': 0.3888888888888889}
99 mondrian {'dm': 0.8, 'cm': 0.38738738738738737, 'entropy': 0.4256391444716316, 'acc': 0.4021164021164021}
100 datafly {'dm': 0.4666666666666667, 'cm': 0.5082140964493905, 'entropy': 0.6705185636212194, 'acc': 0.41798941798941797}
100 mondrian {'dm': 0.8333333333333334, 'cm': 0.442501324854266, 'entropy': 0.49643257770049504, 'acc': 0.35185185185185186}
101 datafly {'dm': 0.4, 'cm': 0.5993640699523053, 'entropy': 0.8415717167797874, 'acc': 0.3201058201058201}
101 mondrian {'dm': 0.8333333333333334, 'cm': 0.42236354001059884, 'entropy': 0.41635913147098447, 'acc': 0.47619047619047616}
102 datafly {'dm': 0.3333333333333333, 'cm': 0.5320614732379438, 'entropy': 0.7565960359884133, 'acc': 0.36243386243386244}
102 mondrian {'dm': 0.8333333333333334, 'cm': 0.42289348171701113, 'entropy': 0.37900437549396093, 'acc': 0.4126984126984127}
103 datafly {'dm': 0.3333333333333333, 'cm': 0.5728669846316905, 'entropy': 0.753819625608721, 'acc': 0.37566137566137564}
103 mondrian {'dm': 0.8333333333333334, 'cm': 0.40010598834128247, 'entropy': 0.3704614569502729, 'acc': 0.34656084656084657}
