algo,no,knn_auroc,knn_acc,knn_pca_auroc,knn_pca_acc,rf_auroc,rf_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly,158,0.5245249987979621,0.4372881355932203,0.5254048541685443,0.4372881355932203,0.5713180481411394,0.4372881355932203,0.5688820479657071,0.4372881355932203,0.5988529011438443,0.43389830508474575,0.5963331145697498,0.4372881355932203
datafly_shuffled,158,0.5229863507261664,0.4372881355932203,0.5163122377496294,0.3694915254237288,0.5674980694034256,0.4372881355932203,0.5343478397338721,0.4372881355932203,0.554788788914917,0.43389830508474575,0.550348224390461,0.4372881355932203
mondrian,158,0.5774265913834027,0.4542372881355932,0.6264961258445642,0.4779661016949153,0.6840044313891326,0.4949152542372882,0.6384414154059562,0.4677966101694915,0.683260581134126,0.5084745762711864,0.6531171015847321,0.4915254237288136
datafly,159,0.5337331237200661,0.43389830508474575,0.5992909543844812,0.4203389830508473,0.6045410015092689,0.4372881355932203,0.5952136215437903,0.4474576271186441,0.5794178069822755,0.43389830508474575,0.5948137813182339,0.43389830508474575
datafly_shuffled,159,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5799485515799131,0.4203389830508473,0.5783160001890143,0.42372881355932196,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
mondrian,159,0.5647665424005247,0.4033898305084746,0.6079378548179099,0.3932203389830509,0.6706767604808855,0.4813559322033898,0.6305324833647079,0.4271186440677966,0.5597667049873049,0.3932203389830509,0.6097937650329309,0.4440677966101695
datafly,160,0.5379264236349722,0.43389830508474575,0.5770178497189821,0.4474576271186441,0.5850705832418628,0.4372881355932203,0.5892197058266185,0.4474576271186441,0.5804902273707329,0.4508474576271186,0.5937208458995566,0.43389830508474575
datafly_shuffled,160,0.5208715636658269,0.4372881355932203,0.5703024218375409,0.4372881355932203,0.5975776240277437,0.4372881355932203,0.5976746721935275,0.4372881355932203,0.5926510762308963,0.4610169491525424,0.5738250844871317,0.4305084745762712
mondrian,160,0.5238180651734582,0.4440677966101695,0.5710596265298018,0.4033898305084746,0.6517636924065516,0.4372881355932203,0.6050124662273199,0.4372881355932203,0.6536535791345758,0.4406779661016949,0.6285069752354809,0.4508474576271186
datafly,161,0.5337331237200661,0.43389830508474575,0.5992909543844812,0.4203389830508473,0.5991539371150824,0.4372881355932203,0.5994917108251855,0.4474576271186441,0.5794178069822755,0.43389830508474575,0.5948137813182339,0.43389830508474575
datafly_shuffled,161,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5785648882360382,0.4203389830508473,0.5766731474804266,0.4203389830508473,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
mondrian,161,0.4884601951636198,0.4406779661016949,0.5547556333113247,0.4169491525423729,0.6105493776028059,0.4372881355932203,0.61647045703939,0.4305084745762712,0.5735841613274223,0.4,0.6143978634184408,0.4542372881355932
datafly,162,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5785648882360382,0.4372881355932203,0.5650488600237793,0.4169491525423729,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
datafly_shuffled,162,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5789851740303783,0.4203389830508473,0.5766557917929679,0.42372881355932196,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
mondrian,162,0.4661035310007662,0.4372881355932203,0.575169491619255,0.4135593220338983,0.6765268118869803,0.4542372881355932,0.6560702763840919,0.4677966101694915,0.6345217896036918,0.4779661016949153,0.6737638767078591,0.5016949152542373
datafly,163,0.5235148897744617,0.4372881355932203,0.5182536890915822,0.4271186440677966,0.5735887996239785,0.4372881355932203,0.5459060189827163,0.4372881355932203,0.5832896349772428,0.4372881355932203,0.5812370227633077,0.4372881355932203
datafly_shuffled,163,0.4974445810910268,0.4372881355932203,0.5523178828991154,0.4610169491525424,0.6023671778995413,0.4372881355932203,0.6001237444222012,0.4203389830508473,0.6041820591571162,0.4305084745762712,0.5963477659145451,0.4305084745762712
mondrian,163,0.5350935141299366,0.4033898305084746,0.5759316962204833,0.4101694915254237,0.6403916688294528,0.4271186440677966,0.6305649760656944,0.4542372881355932,0.6464800701459918,0.4711864406779661,0.6384379028584167,0.4271186440677966
datafly,164,0.4842494038341629,0.42372881355932196,0.5807107653259741,0.42372881355932196,0.5833618473248415,0.43389830508474575,0.5990454194805063,0.4372881355932203,0.5974415657196467,0.4372881355932203,0.5988319979956991,0.4372881355932203
datafly_shuffled,164,0.4993249712279271,0.4372881355932203,0.4986895974197318,0.3932203389830509,0.587147980369775,0.4372881355932203,0.5705347769308055,0.4372881355932203,0.5730533052517015,0.4372881355932203,0.5765009396057146,0.4372881355932203
mondrian,164,0.5460164915561204,0.4169491525423729,0.5825465328958465,0.42372881355932196,0.6675657835359039,0.4813559322033898,0.6700720145986889,0.464406779661017,0.6769040248308498,0.5355932203389829,0.6968776768471571,0.5423728813559322
datafly,165,0.5026702050096731,0.4372881355932203,0.5756354836821204,0.4372881355932203,0.5813702093768999,0.4372881355932203,0.573526169902838,0.4372881355932203,0.6032430814880846,0.4271186440677966,0.604937082300192,0.4305084745762712
