algo,no,precision,dm,cm,entropy,discern,ilm,acc
datafly,70,0.03331981981981968,0.085,0.3121621621621621,0.9718501793901464,0.4748777940102265,0.046306365576102425,0.5054054054054054
datafly_shuffled,70,0.05000000000000005,0.09,0.3735135135135135,0.9128067600013624,0.033977282688093496,0.047752151493598856,0.5709459459459459
mondrian,70,0.4333685304737935,0.635,0.20445945945945945,0.8075025953638222,0.00033743608473338197,0.04596386913229028,0.4945945945945946
datafly,71,0.041727477477477404,0.0875,0.352972972972973,0.9696669338914874,0.414346092037984,0.046380067567567546,0.5054054054054054
datafly_shuffled,71,0.04999324324324328,0.1275,0.37,0.9101611292647253,0.029543425858290725,0.04730985064011376,0.5054054054054054
mondrian,71,0.40463462450304577,0.5925,0.27635135135135136,0.8276906792894103,0.0007131482834185536,0.04738828236130865,0.4945945945945946
datafly,72,0.03333333333333344,0.0575,0.29162162162162164,0.9609771767959266,0.3312836011687363,0.045890736130867714,0.5054054054054054
datafly_shuffled,72,0.033328828828828934,0.09,0.3489189189189189,0.9516080203620556,0.19018940832724615,0.0483637091038407,0.5054054054054054
mondrian,72,0.4202499361709887,0.6075,0.2516216216216216,0.8200311663951396,0.0005315193571950328,0.04626843883357035,0.4945945945945946
datafly,73,0.01666666666666661,0.03,0.40864864864864864,0.9772201358633548,0.4211706355003652,0.047912980085348514,0.5932432432432433
datafly_shuffled,73,0.049999999999999815,0.085,0.36783783783783786,0.9040209745369384,0.0203736303871439,0.04765839260312943,0.6074324324324324
mondrian,73,0.4166498978735822,0.605,0.2458108108108108,0.8215344494612591,0.0005210372534696858,0.046739882645803685,0.4945945945945946
datafly,74,0.01666666666666661,0.0375,0.44635135135135134,0.9924690712239954,0.8494379474068663,0.04851424253200568,0.5054054054054054
datafly_shuffled,74,0.041742117117117394,0.09,0.4110810810810811,0.9404355419646628,0.10029444850255663,0.048532912517780934,0.5175675675675676
mondrian,74,0.43789635992267584,0.6525,0.22283783783783784,0.8085087207536777,0.00033524470416362314,0.0461930476529161,0.4945945945945946
datafly,75,0.025989864864864883,0.0325,0.37972972972972974,0.9838388055393038,0.6674756391526662,0.04803917140825035,0.5054054054054054
datafly_shuffled,75,0.049979729729729534,0.135,0.3601351351351351,0.8965531260681247,0.016779693206720233,0.04746874110953055,0.5331081081081082
mondrian,75,0.4396383265856952,0.6425,0.22243243243243244,0.8070374940531209,0.00033458728999269534,0.045347243954480684,0.4945945945945946
datafly,76,0.033328828828828934,0.0875,0.33635135135135136,0.9558931364075504,0.20865376186997808,0.046010704125177784,0.5054054054054054
datafly_shuffled,76,0.033333333333333215,0.075,0.3874324324324324,0.9592216451298162,0.25006380569758946,0.04897704480796584,0.5054054054054054
mondrian,76,0.4149257577415471,0.5975,0.2510810810810811,0.8191762387233533,0.0005191745799853908,0.04653888691322888,0.4945945945945946
datafly,77,0.0416610360360361,0.085,0.340945945945946,0.9567871938456236,0.24197100073046016,0.04589438122332858,0.5054054054054054
datafly_shuffled,77,0.05000000000000005,0.0825,0.3844594594594595,0.9072875373431,0.025832249817384956,0.04790394736842105,0.5635135135135135
mondrian,77,0.41681929095087,0.6025,0.24662162162162166,0.8204480059634641,0.0005254200146092038,0.046370892603129515,0.4945945945945946
datafly,78,0.033328828828828934,0.085,0.3543243243243243,0.9643333411640038,0.2797972242512783,0.04633058321479374,0.5054054054054054
datafly_shuffled,78,0.03333333333333344,0.06,0.3786486486486487,0.939271425677774,0.08973575602629656,0.04855186699857753,0.6304054054054054
mondrian,78,0.4180531239741767,0.585,0.2506756756756757,0.8204695749579254,0.0005284879474068663,0.04614882645803711,0.4945945945945946
datafly,79,0.016666666666666833,0.0325,0.4078378378378377,0.9906527013603744,0.7897348794740686,0.04837300853485064,0.5054054054054054
datafly_shuffled,79,0.049999999999999815,0.0925,0.3802702702702703,0.9099308650412528,0.02852878013148284,0.048279765291607386,0.552027027027027
mondrian,79,0.42079573804573794,0.635,0.2264864864864865,0.8199614847851515,0.0005273192111029948,0.0448831436699858,0.4945945945945946
datafly,80,0.02501689189189193,0.03,0.40878378378378377,0.9875997405159804,0.7314597151205259,0.04815076458036985,0.5054054054054054
datafly_shuffled,80,0.05880292792792818,0.13,0.3601351351351351,0.9148251249211468,0.03922772096420745,0.0478620199146515,0.5054054054054054
