algo,no,precision,dm,cm,entropy,discern,ilm,acc
mondrian,194,0.4123332877411825,0.61,0.24297297297297296,0.8211426299839939,0.0005260774287801315,0.045607165718349926,0.4945945945945946
datafly,195,0.033328828828828594,0.085,0.3202702702702703,0.9557788706334901,0.2417788897005113,0.04578630867709815,0.5074324324324324
datafly_shuffled,195,0.016666666666666607,0.0325,0.4562162162162162,0.9780439335325707,0.428868334550767,0.048860544096728305,0.5054054054054054
mondrian,195,0.41315522303680197,0.62,0.2660810810810811,0.8187341286582163,0.0005246165084002922,0.04540451635846376,0.4945945945945946
datafly,196,0.033328828828828594,0.0825,0.3328378378378378,0.9678778804979792,0.40013312636961285,0.04613342816500713,0.5054054054054054
datafly_shuffled,196,0.03331981981981991,0.0875,0.3654054054054054,0.9420714600845338,0.09699046749452155,0.04836438477951635,0.6310810810810811
mondrian,196,0.4182610880110881,0.585,0.24621621621621623,0.8188314703611719,0.0005226077428780131,0.046214793741109525,0.4945945945945946
datafly,197,0.04224211711711723,0.0925,0.36783783783783786,0.9521180628194743,0.15753641344046748,0.046027542674253207,0.5871621621621622
datafly_shuffled,197,0.016666666666666607,0.0325,0.47905405405405405,0.9730313658142935,0.3303277209642074,0.049161006401137984,0.49527027027027026
mondrian,197,0.4178335339387973,0.6025,0.2554054054054054,0.8210858729429853,0.0005182249817384953,0.04633417496443817,0.4945945945945946
datafly,198,0.03333333333333355,0.06,0.31905405405405407,0.9553946030983055,0.21711391526661797,0.045988602418207694,0.5054054054054054
datafly_shuffled,198,0.016666666666666607,0.0275,0.4085135135135135,0.9742072446626567,0.38717154857560265,0.049055956614509254,0.5054054054054054
mondrian,198,0.41917511033300525,0.6325,0.2512162162162162,0.8195134368232118,0.0005265157048940833,0.0462137624466571,0.4945945945945946
datafly,199,0.01666666666666683,0.0275,0.4540540540540541,0.9809413609533371,0.4861843681519357,0.04806913229018492,0.5054054054054054
datafly_shuffled,199,0.03333333333333355,0.05,0.3962162162162162,0.9463109008052751,0.13790675675675676,0.04805128022759604,0.497972972972973
mondrian,199,0.4186648976912133,0.6075,0.26256756756756755,0.8193372861789968,0.0005221694667640614,0.047187624466571904,0.4945945945945946
datafly,200,0.025016891891891935,0.0325,0.3828378378378378,0.9881036670618916,0.7551788897005113,0.04813929587482218,0.5054054054054054
datafly_shuffled,200,0.033324324324324084,0.0825,0.3651351351351351,0.9490933143967063,0.15928378378378377,0.04789187411095305,0.5054054054054054
mondrian,200,0.39736871284239694,0.57,0.28283783783783784,0.8340278072668349,0.0008997808619430241,0.04626539829302986,0.4945945945945946
