algo,no,auroc,lr_acc
datafly_shuffled,82,0.6902178120929966,0.7651251450356373
mondrian,82,0.8492467601620459,0.810044753853804
datafly,83,0.6123662150201837,0.7430797281617769
datafly_shuffled,83,0.658693127442021,0.7677772252610642
mondrian,83,0.8449901059918113,0.8082214486988232
datafly,84,0.78184395530067,0.7565058843030001
datafly_shuffled,84,0.6422226619559195,0.7430797281617769
mondrian,84,0.8370893626819598,0.7908171722194597
datafly,85,0.6576917099004844,0.7430797281617769
datafly_shuffled,85,0.6466810099803559,0.7637991049229239
mondrian,85,0.8475370755470487,0.783689706613625
datafly,86,0.6984329330157656,0.7430797281617769
datafly_shuffled,86,0.6797337612341966,0.7772252610641472
mondrian,86,0.8685957704014448,0.8113707939665175
datafly,87,0.6263280637246083,0.7429139731476877
datafly_shuffled,87,0.5959383477366107,0.7497099287253439
mondrian,87,0.84020097428997,0.7795458312613956
datafly,88,0.732459758370331,0.7145698657384386
datafly_shuffled,88,0.7512986695257352,0.7430797281617769
mondrian,88,0.8581160369280363,0.7876678269517653
datafly,89,0.6939821404157642,0.7858445217967843
datafly_shuffled,89,0.7282711749764341,0.7415879330349743
mondrian,89,0.8589033841105828,0.7633018398806564
datafly,90,0.78119411684284,0.7424167081054202
datafly_shuffled,90,0.7559212221078915,0.7425824631195094
mondrian,90,0.8515118764076476,0.7936350074589756
datafly,91,0.7542816230490814,0.7344604674291397
datafly_shuffled,91,0.768712771545552,0.7430797281617769
mondrian,91,0.8606178178495103,0.8113707939665175
datafly,92,0.6781515114446691,0.7440742582463119
datafly_shuffled,92,0.6360132543731515,0.7430797281617769
mondrian,92,0.842172508328956,0.7964528426984916
datafly,93,0.7056653450670274,0.7430797281617769
datafly_shuffled,93,0.7767866420095989,0.7427482181335986
mondrian,93,0.8210015614543832,0.7729156306978286
datafly,94,0.6419684399127887,0.7430797281617769
datafly_shuffled,94,0.6087679621221389,0.7430797281617769
mondrian,94,0.8639252228850208,0.8110392839383391
datafly,95,0.7632704913904138,0.7430797281617769
datafly_shuffled,95,0.6476119821835897,0.7646278799933698
mondrian,95,0.8395348017240759,0.7763964859937013
datafly,96,0.6109498247861095,0.7255096966683242
datafly_shuffled,96,0.7488119994531311,0.7220288413724515
mondrian,96,0.8774227367905997,0.8107077739101608
datafly,97,0.6593097220323372,0.7425824631195094
datafly_shuffled,97,0.6789033121541593,0.7445715232885795
mondrian,97,0.867364596000662,0.7861760318249627
datafly,98,0.6480861030559892,0.7439085032322228
datafly_shuffled,98,0.7619278564901095,0.7425824631195094
mondrian,98,0.8277075403135861,0.7792143212332173
datafly,99,0.7122915242529124,0.7260069617105918
datafly_shuffled,99,0.7047812164952906,0.743245483175866
mondrian,99,0.7835604038194469,0.745068788330847
datafly,100,0.7624445036086147,0.7429139731476877
datafly_shuffled,100,0.6329733833190619,0.7487153986408089
mondrian,100,0.8241973620775258,0.7878335819658545
datafly,101,0.6918370474840436,0.7354549975136748
datafly_shuffled,101,0.7767238960085773,0.742250953091331
mondrian,101,0.8402831485252531,0.7833581965854467
datafly,102,0.6823497369992734,0.7430797281617769
datafly_shuffled,102,0.6370242421189728,0.7430797281617769
mondrian,102,0.8326589337497212,0.7863417868390519
datafly,103,0.5746167241118778,0.7485496436267197
datafly_shuffled,103,0.7754440071092946,0.7851815017404277
mondrian,103,0.8595773279701812,0.8128625890933201
datafly,104,0.5839868895396948,0.7498756837394331
datafly_shuffled,104,0.6616208184323573,0.7427482181335986
mondrian,104,0.8455186259201428,0.7928062323885298
datafly,105,0.7239155087678901,0.7430797281617769
datafly_shuffled,105,0.7156323170687833,0.7289905519641969
mondrian,105,0.8373083260777272,0.7621415547820322
datafly,106,0.6481307160383672,0.7429139731476877
datafly_shuffled,106,0.7498654414886343,0.7371125476545666
mondrian,106,0.8222474869219201,0.7941322725012432
datafly,107,0.7352351895691969,0.7430797281617769
datafly_shuffled,107,0.6622868470854051,0.7430797281617769
mondrian,107,0.8472021183970988,0.7473893585280955
datafly,108,0.5264387327034747,0.7430797281617769
datafly_shuffled,108,0.6346827801083663,0.742250953091331
mondrian,108,0.8529572650802674,0.8072269186142881
datafly,109,0.6489631079418304,0.7425824631195094
datafly_shuffled,109,0.6598377382657064,0.7430797281617769
mondrian,109,0.8583535650809869,0.8025857782197912
datafly,110,0.6881924546494643,0.7831924415713575
datafly_shuffled,110,0.6669841623912559,0.7442400132604011
mondrian,110,0.8396245313837941,0.7803746063318415
datafly,111,0.6539912069250862,0.7435769932040445
datafly_shuffled,111,0.7399271081433084,0.7404276479363501
mondrian,111,0.8090479445647716,0.7760649759655229
datafly,112,0.7488938139062984,0.7460633184153821
datafly_shuffled,112,0.6476245745576479,0.7430797281617769
mondrian,112,0.789409525591302,0.7661196751201724
datafly,113,0.7356500183488878,0.7260069617105918
datafly_shuffled,113,0.6603181193469234,0.7430797281617769
mondrian,113,0.8577736682664978,0.7999336979943643
datafly,114,0.6492405719096516,0.7437427482181336
datafly_shuffled,114,0.6461260100882904,0.7430797281617769
mondrian,114,0.8576452980075266,0.8110392839383391
datafly,115,0.6689726061896916,0.7646278799933698
datafly_shuffled,115,0.6090077209242083,0.7430797281617769
mondrian,115,0.8666474782871493,0.8155146693187469
datafly,116,0.6881924546494643,0.78269517652909
datafly_shuffled,116,0.7262363912414642,0.7430797281617769
mondrian,116,0.8336267476416283,0.7923089673462622
datafly,117,0.7695260230404467,0.7374440576827449
datafly_shuffled,117,0.6584612838465026,0.7553455992043759
mondrian,117,0.8603365401912603,0.7928062323885298
datafly,118,0.7771375015290739,0.7430797281617769
datafly_shuffled,118,0.647688184035748,0.7707608155146694
mondrian,118,0.8501038331186633,0.7962870876844025
datafly,119,0.6475205255697148,0.7430797281617769
datafly_shuffled,119,0.6575429040173271,0.7740759157964529
mondrian,119,0.8274792945392271,0.778882811205039
datafly,120,0.5745179279428378,0.7445715232885795
datafly_shuffled,120,0.7466166809380239,0.7420851980772418
mondrian,120,0.8596763400084909,0.7790485662191281
datafly,121,0.6433446065062998,0.7430797281617769
datafly_shuffled,121,0.6215512365711325,0.7430797281617769
mondrian,121,0.8641715297216006,0.801425493121167
datafly,122,0.701439416289495,0.7425824631195094
datafly_shuffled,122,0.5619728292546033,0.7420851980772418
mondrian,122,0.8004347607089146,0.7684402453174208
datafly,123,0.7295270304303714,0.7472236035140063
